"","Test Statistic","P-Value"
"waldpea","0.3207","0.3451"
"waldpba","1.6094","0.1081"
"waldppb","0.1195","0.4800"
"waldpbb","0.7257","0.2217"
"waldpcp","0.0347","0.6155"
"waldpce","0.0007","0.8555"
"waldpp","0.1417","0.9316"
"waldpe","0.3210","0.8517"
"waldpb","1.6099","0.4471"
