"","Test Statistic","P-Value"
"waldalpha2","0.0689","0.5450"
"waldalpha3","0.0856","0.5202"
"waldalpha","0.0857","0.9581"
"waldbeta2","0.0184","0.6714"
"waldbeta3","0.0265","0.6404"
"waldbeta","0.0275","0.9863"
"waldgamma2","0.0248","0.6464"
"waldgamma3","0.0010","0.8424"
"waldgamma","0.0489","0.9758"
"waldallC","3.0665","0.8788"
