"","Test Statistic","P-Value"
"waldpea"," 1.2054"," 0.1469"
"waldpba","19.2463"," 0.0000"
"waldppb"," 0.0068"," 0.7433"
"waldpbb"," 1.7722"," 0.0962"
"waldpcp"," 0.4216"," 0.3044"
"waldpce"," 0.0300"," 0.6291"
"waldpp"," 0.4285"," 0.8072"
"waldpe"," 1.2354"," 0.5392"
"waldpb","19.2594"," 0.0001"
