"","Test Statistic","P-Value"
"waldpea"," 3.6506"," 0.0284"
"waldpba","12.1945"," 0.0002"
"waldppb"," 0.1234"," 0.4759"
"waldpbb"," 0.0160"," 0.6828"
"waldpcp"," 0.0240"," 0.6490"
"waldpce"," 0.0037"," 0.7791"
"waldpp"," 0.1475"," 0.9289"
"waldpe"," 3.6543"," 0.1609"
"waldpb","12.2200"," 0.0022"
