"","Test Statistic","P-Value"
"waldalpha2"," 0.0358"," 0.6125"
"waldalpha3"," 0.0294"," 0.6311"
"waldalpha"," 0.0569"," 0.9719"
"waldbeta2"," 0.0020"," 0.8101"
"waldbeta3"," 0.0862"," 0.5195"
"waldbeta"," 0.2322"," 0.8904"
"waldgamma2"," 0.4503"," 0.2944"
"waldgamma3"," 0.0239"," 0.6494"
"waldgamma"," 0.4631"," 0.7933"
"waldallC","21.5648"," 0.0030"
