"","Test Statistic","P-Value"
"waldalpha2"," 0.0542"," 0.5709"
"waldalpha3"," 0.0612"," 0.5580"
"waldalpha"," 0.0642"," 0.9684"
"waldbeta2"," 0.0399"," 0.6020"
"waldbeta3"," 0.0158"," 0.6836"
"waldbeta"," 0.0427"," 0.9789"
"waldgamma2"," 0.0301"," 0.6290"
"waldgamma3"," 0.0048"," 0.7650"
"waldgamma"," 0.0575"," 0.9717"
"waldallC","12.6845"," 0.0802"
