"","Test Statistic","P-Value"
"waldpea"," 0.1781"," 0.4282"
"waldpba","20.6110"," 0.0000"
"waldppb"," 0.5539"," 0.2629"
"waldpbb"," 0.0840"," 0.5224"
"waldpcp"," 0.0000"," 0.9706"
"waldpce"," 0.3869"," 0.3173"
"waldpp"," 0.5821"," 0.7475"
"waldpe"," 0.5643"," 0.7542"
"waldpb","20.8108"," 0.0000"
