"","V1","V2","V3"
"nA2","0.3245","0.4151","0.5963"
"","(0.7231)","(0.5291)","(0.5844)"
"nWA2","-0.1929","-0.3208","-0.3877"
"","(0.333)","(0.64)","(0.7798)"
"nA2l","0.6734*","1.0122","1.3441*"
"","(0.3819)","(0.6774)","(0.8016)"
"nWA2l","-0.5513*","-1.1418*","-1.0572"
"","(0.3062)","(0.6797)","(0.8148)"
"nA3","0.4455***","0.9216***","0.9416***"
"","(0.1698)","(0.2123)","(0.1997)"
"nWA3","-0.3325***","-0.9794***","-0.8345***"
"","(0.103)","(0.2036)","(0.1935)"
"nA3l","0.0864**","0.7797***","0.8722***"
"","(0.0382)","(0.2517)","(0.222)"
"nWA3l","-0.0925*","-1.295***","-1.0421***"
"","(0.0537)","(0.2761)","(0.2412)"
"nLP","-0.5019","-0.4667","-0.3483"
"","(0.7142)","(0.4053)","(0.4906)"
"Moran I statistic"," 0.1552","-0.0142","-0.0966"
""," 0.0000"," 0.1926"," 0.0000"
