"","Test Statistic","P-Value"
"waldpea"," 0.1747"," 0.4308"
"waldpba","26.8932"," 0.0000"
"waldppb"," 0.4942"," 0.2803"
"waldpbb"," 0.1025"," 0.4988"
"waldpcp"," 0.0191"," 0.6685"
"waldpce"," 0.5923"," 0.2527"
"waldpp"," 0.5133"," 0.7736"
"waldpe"," 0.7670"," 0.6815"
"waldpb","27.3737"," 0.0000"
