"","Test Statistic","P-Value"
"waldpea"," 0.0756"," 0.5345"
"waldpba","13.5082"," 0.0001"
"waldppb"," 0.3335"," 0.3394"
"waldpbb"," 0.3531"," 0.3310"
"waldpcp"," 0.0359"," 0.6123"
"waldpce"," 0.2849"," 0.3624"
"waldpp"," 0.3694"," 0.8313"
"waldpe"," 0.3606"," 0.8350"
"waldpb","20.2262"," 0.0000"
