"","Test Statistic","P-Value"
"waldalpha2"," 0.0650"," 0.5514"
"waldalpha3"," 0.4633"," 0.2901"
"waldalpha"," 0.5362"," 0.7648"
"waldbeta2"," 0.1907"," 0.4189"
"waldbeta3"," 0.0979"," 0.5044"
"waldbeta"," 0.2016"," 0.9041"
"waldgamma2"," 0.0398"," 0.6023"
"waldgamma3"," 0.3949"," 0.3143"
"waldgamma"," 0.4333"," 0.8052"
"waldallC","19.0937"," 0.0079"
