"","Test Statistic","P-Value"
"waldalpha2"," 0.0276"," 0.6367"
"waldalpha3"," 0.5490"," 0.2643"
"waldalpha"," 0.5606"," 0.7556"
"waldbeta2"," 0.0974"," 0.5050"
"waldbeta3"," 0.0760"," 0.5339"
"waldbeta"," 0.0975"," 0.9524"
"waldgamma2"," 0.0138"," 0.6943"
"waldgamma3"," 0.0960"," 0.5067"
"waldgamma"," 0.1152"," 0.9440"
"waldallC","28.6462"," 0.0002"
