"","Test Statistic","P-Value"
"waldalpha2"," 0.0000"," 0.9418"
"waldalpha3"," 0.0000"," 0.9418"
"waldalpha"," 0.0000"," 1.0000"
"waldbeta2"," 0.1350"," 0.4645"
"waldbeta3"," 0.0777"," 0.5315"
"waldbeta"," 0.1369"," 0.9338"
"waldgamma2"," 0.0000"," 0.9706"
"waldgamma3"," 0.1248"," 0.4745"
"waldgamma"," 0.1300"," 0.9371"
"waldallC","22.2227"," 0.0023"
