"","V1","V2","V3"
"waldalpha1","0.4909","0.6116","0.0377"
"","(0.2813)","(0.2478)","(0.6077)"
"waldbeta1","0.1984","0.329","0.4245"
"","(0.4135)","(0.3414)","(0.3034)"
"waldbb","0.711","0.6137","0.5183"
"","(0.7008)","(0.7358)","(0.7717)"
"waldalpha2","0.1899","0.0548","0.0169"
"","(0.4195)","(0.5698)","(0.6785)"
"waldbeta2","0.318","0.3032","0.3876"
"","(0.3464)","(0.3534)","(0.3171)"
"waldpopemp","0.3365","0.7522","0.6212"
"","(0.8451)","(0.6865)","(0.733)"
"waldspemp","0.6223","0.3372","0.0951"
"","(0.2451)","(0.3378)","(0.5079)"
"waldsppop","1.4175","2.0678*","1.6966"
"","(0.1247)","(0.0783)","(0.1015)"
