"","DELTA","SE","TValue","PValue"
"nA1"," 0.2907"," 0.1406"," 2.0683"," 0.0387"
"nA2"," 0.3902"," 0.7306"," 0.5341"," 0.5933"
"nWA2","-0.4074"," 0.2807","-1.4512"," 0.1468"
"nA2l"," 0.7126"," 0.3868"," 1.8422"," 0.0655"
"nWA2l","-0.5918"," 0.2983","-1.9839"," 0.0474"
"nLP","-0.4708"," 0.7263","-0.6483"," 0.5169"
"nB1"," 0.0114"," 0.0229"," 0.4987"," 0.6180"
"nB2","-0.2187"," 0.2584","-0.8463"," 0.3975"
"nWB2","-0.0911"," 0.0760","-1.1977"," 0.2311"
"nB2l"," 0.1115"," 0.0511"," 2.1832"," 0.0291"
"nWB2l","-0.0707"," 0.0429","-1.6480"," 0.0994"
"nLE","-0.7272"," 0.2615","-2.7815"," 0.0054"
