"","DELTA","SE","TValue","PValue"
"nA1"," 0.3939"," 0.1719"," 2.2911"," 0.0220"
"nA2"," 1.1823"," 0.7410"," 1.5955"," 0.1107"
"nWA2","-0.8902"," 0.8318","-1.0702"," 0.2846"
"nA2l"," 1.9370"," 1.1258"," 1.7206"," 0.0854"
"nWA2l","-1.1183"," 0.9393","-1.1906"," 0.2339"
"nLP","-0.1235"," 0.6676","-0.1849"," 0.8533"
"nB1"," 0.0619"," 0.0523"," 1.1827"," 0.2370"
"nB2","-0.2301"," 0.1760","-1.3073"," 0.1912"
"nWB2","-0.0625"," 0.0509","-1.2276"," 0.2197"
"nB2l"," 0.1096"," 0.1185"," 0.9244"," 0.3554"
"nWB2l"," 0.0007"," 0.0566"," 0.0128"," 0.9898"
"nLE","-0.7136"," 0.1422","-5.0186"," 0.0000"
