"","Test Statistic","P-Value"
"waldalpha1","0.6116","0.2478"
"waldbeta1","0.3290","0.3414"
"waldbb","0.6137","0.7358"
"waldalpha2","0.0548","0.5698"
"waldbeta2","0.3032","0.3534"
"waldpopemp","0.7522","0.6865"
"waldspemp","0.3372","0.3378"
"waldsppop","2.0678","0.0783"
