"","Test Statistic","P-Value"
"waldalpha1","0.0377","0.6077"
"waldbeta1","0.4245","0.3034"
"waldbb","0.5183","0.7717"
"waldalpha2","0.0169","0.6785"
"waldbeta2","0.3876","0.3171"
"waldpopemp","0.6212","0.7330"
"waldspemp","0.0951","0.5079"
"waldsppop","1.6966","0.1015"
