"","Test Statistic","P-Value"
"waldalpha1","0.4909","0.2813"
"waldbeta1","0.1984","0.4135"
"waldbb","0.7110","0.7008"
"waldalpha2","0.1899","0.4195"
"waldbeta2","0.3180","0.3464"
"waldpopemp","0.3365","0.8451"
"waldspemp","0.6223","0.2451"
"waldsppop","1.4175","0.1247"
