"","Test Statistic","P-Value"
"waldalpha1","0.0704","0.5426"
"waldbeta1","0.0991","0.5030"
"waldbb","0.1608","0.9227"
"waldalpha2","0.0477","0.5841"
"waldbeta2","0.0683","0.5459"
"waldpopemp","0.1052","0.9487"
"waldspemp","0.7714","0.2125"
"waldsppop","0.7474","0.2173"
