"","Test Statistic","P-Value"
"waldalpha1","0.0615","0.5575"
"waldbeta1","0.1176","0.4819"
"waldbb","0.1869","0.9108"
"waldalpha2","0.0705","0.5423"
"waldbeta2","0.0232","0.6520"
"waldpopemp","0.0932","0.9545"
"waldspemp","0.2715","0.3694"
"waldsppop","0.1596","0.4428"
