"","V1","V2","V3"
"waldalpha1","0.0615","0.0704","0.1517"
"","(0.5575)","(0.5426)","(0.4495)"
"waldbeta1","0.1176","0.0991","0.1316"
"","(0.4819)","(0.503)","(0.4678)"
"waldbb","0.1869","0.1608","0.2981"
"","(0.9108)","(0.9227)","(0.8615)"
"waldalpha2","0.0705","0.0477","0.0499"
"","(0.5423)","(0.5841)","(0.5795)"
"waldbeta2","0.0232","0.0683","0.0297"
"","(0.652)","(0.5459)","(0.63)"
"waldpopemp","0.0932","0.1052","0.0736"
"","(0.9545)","(0.9487)","(0.9639)"
"waldspemp","0.2715","0.7714","1.0912"
"","(0.3694)","(0.2125)","(0.1611)"
"waldsppop","0.1596","0.7474","0.1073"
"","(0.4428)","(0.2173)","(0.4933)"
