"","Test Statistic","P-Value"
"waldalpha1","0.1517","0.4495"
"waldbeta1","0.1316","0.4678"
"waldbb","0.2981","0.8615"
"waldalpha2","0.0499","0.5795"
"waldbeta2","0.0297","0.6300"
"waldpopemp","0.0736","0.9639"
"waldspemp","1.0912","0.1611"
"waldsppop","0.1073","0.4933"
