"","Test Statistic","P-Value"
"waldalpha2","0.1796","0.4270"
"waldalpha3","0.1583","0.4439"
"waldalpha","0.1802","0.9139"
"waldbeta2","0.1916","0.4183"
"waldbeta3","0.0554","0.5686"
"waldbeta","0.2230","0.8945"
"waldgamma2","0.0655","0.5506"
"waldgamma3","0.1144","0.4854"
"waldgamma","0.1186","0.9424"
"waldallC","6.4664","0.4865"
