"","Test Statistic","P-Value"
"waldalpha2","0.0118","0.7059"
"waldalpha3","0.0120","0.7047"
"waldalpha","0.0120","0.9940"
"waldbeta2","0.0048","0.7647"
"waldbeta3","0.0111","0.7102"
"waldbeta","0.0127","0.9937"
"waldgamma2","0.0021","0.8087"
"waldgamma3","0.0146","0.6901"
"waldgamma","0.0167","0.9917"
"waldallC","2.4704","0.9293"
