"","Test Statistic","P-Value"
"waldalpha2","0.0055","0.7574"
"waldalpha3","0.0055","0.7567"
"waldalpha","0.0055","0.9972"
"waldbeta2","0.0005","0.8654"
"waldbeta3","0.0004","0.8761"
"waldbeta","0.0014","0.9993"
"waldgamma2","0.0004","0.8728"
"waldgamma3","0.0009","0.8455"
"waldgamma","0.0009","0.9996"
"waldallC","6.2617","0.5095"
