"","Test Statistic","P-Value"
"waldalpha1","0.0908","0.5134"
"waldbeta1","0.8303","0.2014"
"waldbb","0.8308","0.6601"
"waldalpha2","0.0409","0.5997"
"waldbeta2","0.2430","0.3852"
"waldpopemp","0.2446","0.8849"
"waldspemp","1.3129","0.1351"
"waldsppop","1.4277","0.1237"
