"","Test Statistic","P-Value"
"waldalpha1","0.0219","0.6570"
"waldbeta1","0.0090","0.7248"
"waldbb","0.0304","0.9849"
"waldalpha2","0.0030","0.7917"
"waldbeta2","0.0088","0.7269"
"waldpopemp","0.0106","0.9947"
"waldspemp","0.0032","0.7868"
"waldsppop","1.2349","0.1435"
