"","Test Statistic","P-Value"
"waldalpha2"," 0.0002"," 0.8928"
"waldalpha3"," 0.0002"," 0.8932"
"waldalpha"," 0.0002"," 0.9999"
"waldbeta2"," 0.0643"," 0.5526"
"waldbeta3"," 0.0400"," 0.6019"
"waldbeta"," 0.1421"," 0.9314"
"waldgamma2"," 0.0286"," 0.6334"
"waldgamma3"," 0.0102"," 0.7166"
"waldgamma"," 0.0690"," 0.9661"
"waldallC","12.6118"," 0.0822"
