"","Test Statistic","P-Value"
"waldalpha2","0.0548","0.5698"
"waldalpha3","0.0578","0.5641"
"waldalpha","0.0580","0.9714"
"waldbeta2","1.4023","0.1261"
"waldbeta3","0.0666","0.5488"
"waldbeta","1.4024","0.4960"
"waldgamma2","0.0770","0.5325"
"waldgamma3","0.0707","0.5422"
"waldgamma","0.0773","0.9621"
"waldallC","9.2560","0.2348"
