"","Test Statistic","P-Value"
"waldpea"," 1.5730"," 0.1111"
"waldpba","12.3171"," 0.0002"
"waldppb"," 0.0457"," 0.5885"
"waldpbb"," 0.0874"," 0.5178"
"waldpcp"," 0.0539"," 0.5715"
"waldpce"," 0.0626"," 0.5555"
"waldpp"," 0.0997"," 0.9514"
"waldpe"," 1.6356"," 0.4414"
"waldpb","12.3216"," 0.0021"
