"","Test Statistic","P-Value"
"waldpea","25.1980"," 0.0000"
"waldpba"," 5.7797"," 0.0081"
"waldppb"," 0.9840"," 0.1761"
"waldpbb"," 0.0628"," 0.5552"
"waldpcp"," 2.4449"," 0.0608"
"waldpce"," 0.5522"," 0.2634"
"waldpp"," 3.3073"," 0.1913"
"waldpe","25.2286"," 0.0000"
"waldpb"," 5.9591"," 0.0508"
