"","Test Statistic","P-Value"
"waldpea"," 1.3940"," 0.1269"
"waldpba","12.6568"," 0.0002"
"waldppb"," 0.0160"," 0.6829"
"waldpbb"," 0.0327"," 0.6212"
"waldpcp"," 0.1676"," 0.4363"
"waldpce"," 0.0134"," 0.6965"
"waldpp"," 0.1836"," 0.9123"
"waldpe"," 1.4074"," 0.4947"
"waldpb","12.6610"," 0.0018"
