"","Test Statistic","P-Value"
"waldalpha2"," 0.0012"," 0.8333"
"waldalpha3"," 0.0013"," 0.8318"
"waldalpha"," 0.0014"," 0.9993"
"waldbeta2"," 0.0100"," 0.7175"
"waldbeta3"," 0.0145"," 0.6905"
"waldbeta"," 0.0231"," 0.9885"
"waldgamma2"," 0.0229"," 0.6533"
"waldgamma3"," 0.0009"," 0.8444"
"waldgamma"," 0.0242"," 0.9880"
"waldallC","12.3876"," 0.0885"
